"column_header";"column_index";"column_description";"unit";"std_header";"std_description";"code_mappings";"trans_fun";"trans_args"
"EXP_NAME";1;"";"";"";"";"";"";""
"PERSONS";2;"";"";"";"";"";"";""
"ADDRESS";3;"";"";"";"";"";"";""
"NOTES";4;"";"";"";"";"";"";""
"Versuchsaufbau_ID";5;"";"";"";"";"";"";""
"Versuchsjahr";6;"";"";"";"";"";"";""
"Bewaesserung";7;"";"";"";"";"";"";""
"KULTUR.Kultur";8;"";"";"";"";"";"";""
"KULTUR.Kultur_Botanisch";9;"";"";"";"";"";"";""
"KULTUR.Kultur_Englisch";10;"";"";"";"";"";"";""
"KULTUR.Icc_Code";11;"";"";"";"";"";"";""
"PARZELLE.Hoehenlage_Min";12;"";"";"";"";"";"";""
"PARZELLE.Hoehenlage_Max";13;"";"";"";"";"";"";""
"PARZELLE.Beginn";14;"";"";"";"";"";"";""
"PARZELLE.Ende";15;"";"";"";"";"";"";""
"PARZELLE.City";16;"";"";"";"";"";"";""
"FL_LON";17;"";"";"";"";"";"";""
"FL_LAT";18;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";19;"";"";"";"";"";"";""
"TRTNO";1;"";"";"";"";"";"";""
"Versuchsjahr";2;"";"";"";"";"";"";""
"FAKTOR1_STUFE.Name";3;"";"";"";"";"";"";""
"FAKTOR1_STUFE.Beschreibung";4;"";"";"";"";"";"";""
"FAKTOR.Name.x";5;"";"";"";"";"";"";""
"FAKTOR2_STUFE.Name";6;"";"";"";"";"";"";""
"FAKTOR2_STUFE.Beschreibung";7;"";"";"";"";"";"";""
"FAKTOR.Name.y";8;"";"";"";"";"";"";""
"AU_ID";9;"";"";"";"";"";"";""
"BE_ID";10;"";"";"";"";"";"";""
"BO_ID";11;"";"";"";"";"";"";""
"DU_ID";12;"";"";"";"";"";"";""
"PF_ID";13;"";"";"";"";"";"";""
"FL_ID";14;"";"";"";"";"";"";""
"AU_ID";1;"";"";"";"";"";"";""
"Versuchsjahr";2;"";"";"";"";"";"";""
"AUSSAAT.Termin";3;"";"";"";"";"";"";""
"AUSSAAT.Termin_Aufgang";4;"";"";"";"";"";"";""
"AUSSAAT.Saatstaerke_kg_ha";5;"";"";"";"";"";"";""
"AUSSAAT.Reihenabstand";6;"";"";"";"";"";"";""
"AUSSAAT.Pflanzenabstand";7;"";"";"";"";"";"";""
"AUSSAAT.Keimfaehige_Koerner";8;"";"";"";"";"";"";""
"SORTE.Sorte";9;"";"";"";"";"";"";""
"SORTE.Bsa_Code";10;"";"";"";"";"";"";""
"Kultur_ID";11;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";12;"";"";"";"";"";"";""
"TECHNIK.Technik";13;"";"";"";"";"";"";""
"TECHNIK.Beschreibung";14;"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";15;"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";16;"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";17;"";"";"";"";"";"";""
"BE_ID";1;"";"";"";"";"";"";""
"Versuchsjahr";2;"";"";"";"";"";"";""
"BEREGNUNG.Termin";3;"";"";"";"";"";"";""
"BEREGNUNG.Menge";4;"";"";"";"";"";"";""
"BO_ID";1;"";"";"";"";"";"";""
"Versuchsjahr";2;"";"";"";"";"";"";""
"BODENBEARBEITUNG.Termin";3;"";"";"";"";"";"";""
"BODENBEARBEITUNG.Tiefe";4;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";5;"";"";"";"";"";"";""
"BODENBEARBEITUNG_MASSNAHME.Massnahme";6;"";"";"";"";"";"";""
"TECHNIK.Technik";7;"";"";"";"";"";"";""
"TECHNIK.Beschreibung";8;"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";9;"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";10;"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";11;"";"";"";"";"";"";""
"DU_ID";1;"";"";"";"";"";"";""
"Versuchsjahr";2;"";"";"";"";"";"";""
"DUENGUNG.Termin";3;"";"";"";"";"";"";""
"DUENGUNG.Mineralisch";4;"";"";"";"";"";"";""
"DUENGUNG.Organisch";5;"";"";"";"";"";"";""
"DUENGUNG.Stickstoff_org";6;"";"";"";"";"";"";""
"DUENGUNG.Stickstoff_min";7;"";"";"";"";"";"";""
"DUENGUNG.Gesamt_Stickstoff";8;"";"";"";"";"";"";""
"DUENGUNG.Phosphor";9;"";"";"";"";"";"";""
"DUENGUNG.Kalium";10;"";"";"";"";"";"";""
"DUENGUNG.Kalzium";11;"";"";"";"";"";"";""
"DUENGEMITTEL.Name";12;"";"";"";"";"";"";""
"TECHNIK.Technik";13;"";"";"";"";"";"";""
"TECHNIK.Beschreibung";14;"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";15;"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";16;"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";17;"";"";"";"";"";"";""
"PF_ID";1;"";"";"";"";"";"";""
"Versuchsjahr";2;"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Termin";3;"";"";"";"";"";"";""
"Kultur_ID";4;"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Menge";5;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";6;"";"";"";"";"";"";""
"INDIKATION.Indikation";7;"";"";"";"";"";"";""
"PFLANZENSCHUTZ_MITTEL.Name";8;"";"";"";"";"";"";""
"PFLANZENSCHUTZ_MITTEL.Wirkstoff";9;"";"";"";"";"";"";""
"TECHNIK.Technik";10;"";"";"";"";"";"";""
"TECHNIK.Beschreibung";11;"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";12;"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";13;"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";14;"";"";"";"";"";"";""
"Versuchsjahr";1;"";"";"";"";"";"";""
"TRTNO";2;"";"";"";"";"";"";""
"BODENBIOLOGIE.Glucose";3;"";"";"";"";"";"";""
"BODENBIOLOGIE.Katalase";4;"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_juv";5;"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_adult";6;"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_ges";7;"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_juv";8;"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_adult";9;"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_ges";10;"";"";"";"";"";"";""
"BONITUR.Aufgang";11;"";"";"";"";"";"";""
"BONITUR.Ueberwinterung";12;"";"";"";"";"";"";""
"BONITUR.Jugendentwicklung";13;"";"";"";"";"";"";""
"BONITUR.Reihenschliessen";14;"";"";"";"";"";"";""
"BONITUR.Aehrenschieben";15;"";"";"";"";"";"";""
"BONITUR.Bluehbeginn";16;"";"";"";"";"";"";""
"BONITUR.Allg_Eindruck";17;"";"";"";"";"";"";""
"BONITUR.Standfestigkeit";18;"";"";"";"";"";"";""
"BONITUR.Gelbreife";19;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen.x";20;"";"";"";"";"";"";""
"BODENLABORWERTE.Trockenrohdichte";21;"";"";"";"";"";"";""
"BODENLABORWERTE.Porenvolumen";22;"";"";"";"";"";"";""
"BODENLABORWERTE.Grobporen";23;"";"";"";"";"";"";""
"BODENLABORWERTE.kF";24;"";"";"";"";"";"";""
"BODENLABORWERTE.NO3_N";25;"";"";"";"";"";"";""
"BODENLABORWERTE.NH4_N";26;"";"";"";"";"";"";""
"BODENLABORWERTE.Nmin";27;"";"";"";"";"";"";""
"BODENLABORWERTE.Nt";28;"";"";"";"";"";"";""
"BODENLABORWERTE.Nhwl";29;"";"";"";"";"";"";""
"BODENLABORWERTE.Cmik";30;"";"";"";"";"";"";""
"BODENLABORWERTE.Ct";31;"";"";"";"";"";"";""
"BODENLABORWERTE.Chwl";32;"";"";"";"";"";"";""
"BODENLABORWERTE.CN_Verhaeltnis";33;"";"";"";"";"";"";""
"BODENLABORWERTE.pH";34;"";"";"";"";"";"";""
"BODENLABORWERTE.P";35;"";"";"";"";"";"";""
"BODENLABORWERTE.K";36;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.P2O5";37;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.K2O";38;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.N";39;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Ertrag_Staerke";40;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Gehalt_Staerke";41;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Gehalt_Zucker";42;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Blauzahl";43;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Loesl_Trockensubstanz";44;"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Loesl_Asche";45;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen.y";46;"";"";"";"";"";"";""
"Versuchsjahr";1;"";"";"";"";"";"";""
"TRTNO";2;"";"";"";"";"";"";""
"ERNTE.Termin";3;"";"";"";"";"";"";""
"ERNTE.Ganzflaechig";4;"";"";"";"";"";"";""
"ERTRAG.Hp_Frischmasse";5;"";"";"";"";"";"";""
"ERTRAG.Hp_Trockenmasse";6;"";"";"";"";"";"";""
"ERTRAG.Hp_Trockensubstanzgehalt";7;"";"";"";"";"";"";""
"ERTRAG.Np_Frischmasse";8;"";"";"";"";"";"";""
"ERTRAG.Np_Trockenmasse";9;"";"";"";"";"";"";""
"ERTRAG.TKG";10;"";"";"";"";"";"";""
"SORTE.Sorte";11;"";"";"";"";"";"";""
"SORTE.Bsa_Code";12;"";"";"";"";"";"";""
"Kultur_ID";13;"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";14;"";"";"";"";"";"";""
"TECHNIK.Technik";15;"";"";"";"";"";"";""
"TECHNIK.Beschreibung";16;"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";17;"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";18;"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";19;"";"";"";"";"";"";""
