Bodenbiologie_ID,Versuchsjahr,Parzelle_ID,Glucose,Katalase,Regenwurm_Zahl_juv,Regenwurm_Zahl_adult,Regenwurm_Zahl_ges,Regenwurm_Biomasse_juv,Regenwurm_Biomasse_adult,Regenwurm_Biomasse_ges
1,1996,1,29.21,4.65,0,16,16,0,17.28,17.28
2,1996,22,41.02,3.96,32,32,64,14.24,45.6,59.84
3,1996,45,29.75,3.96,32,48,80,18.88,76.96,95.84
4,1996,57,34.6,4.75,48,16,64,17.28,20,37.28
5,1996,2,45.82,3.66,16,32,48,16.96,56.64,73.6
6,1996,28,55.14,3.66,32,0,32,25.12,0,25.12
7,1996,39,52.35,6.78,16,16,32,0.8,22.88,23.68
8,1996,63,40.04,4.85,48,0,48,30.88,0,30.88
9,1996,3,51.47,5.64,16,32,48,2.24,33.28,35.52
10,1996,30,40.13,4.96,16,32,48,3.36,45.92,49.28
11,1996,37,35.11,5.54,32,16,48,14.88,8.32,23.2
12,1996,60,62.04,5.44,48,16,64,19.36,16.8,36.16
13,1996,4,58,5.64,32,0,32,1.12,0,1.12
14,1996,26,67.19,4.75,0,0,0,0,0,0
15,1996,48,58.12,4.95,16,32,48,11.52,40.16,51.68
16,1996,53,40.41,5.43,48,32,80,31.2,47.84,79.04
17,1996,5,34.67,5.74,16,80,96,10.56,169.92,180.48
18,1996,17,33.22,5.34,32,64,96,12.32,86.24,98.56
19,1996,43,43.21,7.42,0,16,16,0,23.68,23.68
20,1996,61,53.43,5.84,80,48,128,26.56,48.64,75.2
21,1996,6,39.06,5.54,0,16,16,0,18.08,18.08
22,1996,18,41.67,5.05,32,16,48,22.88,21.76,44.64
23,1996,41,38.2,7.27,32,0,32,18.88,0,18.88
24,1996,64,41.74,5.64,48,32,80,27.84,47.2,75.04
25,1996,7,40.2,6.73,16,0,16,11.84,0,11.84
26,1996,19,55.21,5.54,32,32,64,22.56,49.44,72
27,1996,47,55.46,6.23,32,32,64,13.92,35.04,48.96
28,1996,59,66.85,6.83,48,16,64,13.6,23.36,36.96
29,1996,8,42.32,6.73,32,0,32,14.88,0,14.88
30,1996,20,55.11,5.24,64,16,80,33.28,20.48,53.76
31,1996,46,47.51,5.74,32,48,80,4.32,67.36,71.68
32,1996,58,44.89,5.64,80,32,112,34.56,32.32,66.88
33,1996,9,63.79,7.62,0,48,48,0,78.4,78.4
34,1996,29,41.88,6.13,32,48,80,9.6,90.24,99.84
35,1996,33,44.87,6.53,48,16,64,17.28,21.44,38.72
36,1996,54,40.55,7.62,32,48,80,17.28,60,77.28
37,1996,10,63.66,9,80,16,96,102.4,24,126.4
38,1996,31,49.46,6.73,0,32,32,0,25.6,25.6
39,1996,34,50.44,7.22,64,64,128,20.48,133.76,154.24
40,1996,56,38.94,7.02,48,16,64,24.16,24.8,48.96
41,1996,11,68.09,9.2,0,0,0,0,0,0
42,1996,24,69.81,9.5,48,32,80,19.36,42.88,62.24
43,1996,35,50.47,8.75,16,16,32,0.32,29.44,29.76
44,1996,62,49.03,6.43,80,80,160,27.36,99.2,126.56
45,1996,12,62.48,9.1,48,0,48,27.2,0,27.2
46,1996,32,53.17,8.61,64,48,112,20.64,44.16,64.8
47,1996,36,53.11,8.51,32,32,64,20.32,60.16,80.48
48,1996,55,47.2,9.1,112,32,144,53.6,48.864,102.464
49,1996,13,51.73,8.31,48,48,96,17.76,80.8,98.56
50,1996,25,63.56,6.73,16,80,96,12.48,112.32,124.8
51,1996,40,47.9,9.2,0,0,0,0,0,0
52,1996,49,56.44,10.09,16,48,64,12.96,79.52,92.48
53,1996,14,56.09,9.2,16,48,64,5.6,72,77.6
54,1996,21,51.33,8.51,48,64,112,22.24,70.24,92.48
55,1996,42,51.64,8.61,0,32,32,0,49.12,49.12
56,1996,50,55.78,11.08,48,64,112,16.48,81.12,97.6
57,1996,15,54.54,9.4,96,112,208,29.92,165.92,195.84
58,1996,23,62.27,8.9,80,48,128,27.04,67.84,94.88
59,1996,44,49.89,6.43,48,16,64,40.64,31.36,72
60,1996,51,61.55,9.3,208,96,304,62.08,128.48,190.56
61,1996,16,66.19,8.9,32,64,96,14.56,81.76,96.32
62,1996,27,73.52,7.32,32,48,80,22.24,51.52,73.76
63,1996,38,62.6,11.57,32,16,48,14.56,20.48,35.04
64,1996,52,53.93,7.32,128,48,176,36.96,39.36,76.32
