Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Beginn,Ende,Bemerkungen_ID,City,Latitude,Longitude
1,a1,1,11,125,135,1967,2002,17,Seehausen,51.40188,12.41893
2,a2,1,12,125,135,1967,2002,17,Seehausen,51.40188,12.41893
3,a3,1,13,125,135,1967,2002,17,Seehausen,51.40188,12.41893
4,a4,1,14,125,135,1967,2002,17,Seehausen,51.40188,12.41893
5,a5,1,21,125,135,1967,2002,17,Seehausen,51.40188,12.41893
6,a6,1,22,125,135,1967,2002,17,Seehausen,51.40188,12.41893
7,a7,1,23,125,135,1967,2002,17,Seehausen,51.40188,12.41893
8,a8,1,24,125,135,1967,2002,17,Seehausen,51.40188,12.41893
9,a9,1,31,125,135,1967,2002,17,Seehausen,51.40188,12.41893
10,a10,1,32,125,135,1967,2002,17,Seehausen,51.40188,12.41893
11,a11,1,33,125,135,1967,2002,17,Seehausen,51.40188,12.41893
12,a12,1,34,125,135,1967,2002,17,Seehausen,51.40188,12.41893
13,a13,1,41,125,135,1967,2002,17,Seehausen,51.40188,12.41893
14,a14,1,42,125,135,1967,2002,17,Seehausen,51.40188,12.41893
15,a15,1,43,125,135,1967,2002,17,Seehausen,51.40188,12.41893
16,a16,1,44,125,135,1967,2002,17,Seehausen,51.40188,12.41893
17,b1,2,21,125,135,1967,2002,17,Seehausen,51.40188,12.41893
18,b2,2,22,125,135,1967,2002,17,Seehausen,51.40188,12.41893
19,b3,2,23,125,135,1967,2002,17,Seehausen,51.40188,12.41893
20,b4,2,24,125,135,1967,2002,17,Seehausen,51.40188,12.41893
21,b5,2,42,125,135,1967,2002,17,Seehausen,51.40188,12.41893
22,b6,2,11,125,135,1967,2002,17,Seehausen,51.40188,12.41893
23,b7,2,43,125,135,1967,2002,17,Seehausen,51.40188,12.41893
24,b8,2,33,125,135,1967,2002,17,Seehausen,51.40188,12.41893
25,b9,2,41,125,135,1967,2002,17,Seehausen,51.40188,12.41893
26,b10,2,14,125,135,1967,2002,17,Seehausen,51.40188,12.41893
27,b11,2,44,125,135,1967,2002,17,Seehausen,51.40188,12.41893
28,b12,2,12,125,135,1967,2002,17,Seehausen,51.40188,12.41893
29,b13,2,31,125,135,1967,2002,17,Seehausen,51.40188,12.41893
30,b14,2,13,125,135,1967,2002,17,Seehausen,51.40188,12.41893
31,b15,2,32,125,135,1967,2002,17,Seehausen,51.40188,12.41893
32,b16,2,34,125,135,1967,2002,17,Seehausen,51.40188,12.41893
33,c1,3,31,125,135,1967,2002,17,Seehausen,51.40188,12.41893
34,c2,3,32,125,135,1967,2002,17,Seehausen,51.40188,12.41893
35,c3,3,33,125,135,1967,2002,17,Seehausen,51.40188,12.41893
36,c4,3,34,125,135,1967,2002,17,Seehausen,51.40188,12.41893
37,c5,3,13,125,135,1967,2002,17,Seehausen,51.40188,12.41893
38,c6,3,44,125,135,1967,2002,17,Seehausen,51.40188,12.41893
39,c7,3,12,125,135,1967,2002,17,Seehausen,51.40188,12.41893
40,c8,3,41,125,135,1967,2002,17,Seehausen,51.40188,12.41893
41,c9,3,22,125,135,1967,2002,17,Seehausen,51.40188,12.41893
42,c10,3,42,125,135,1967,2002,17,Seehausen,51.40188,12.41893
43,c11,3,21,125,135,1967,2002,17,Seehausen,51.40188,12.41893
44,c12,3,43,125,135,1967,2002,17,Seehausen,51.40188,12.41893
45,c13,3,11,125,135,1967,2002,17,Seehausen,51.40188,12.41893
46,c14,3,24,125,135,1967,2002,17,Seehausen,51.40188,12.41893
47,c15,3,23,125,135,1967,2002,17,Seehausen,51.40188,12.41893
48,c16,3,14,125,135,1967,2002,17,Seehausen,51.40188,12.41893
49,d1,4,41,125,135,1967,2002,17,Seehausen,51.40188,12.41893
50,d2,4,42,125,135,1967,2002,17,Seehausen,51.40188,12.41893
51,d3,4,43,125,135,1967,2002,17,Seehausen,51.40188,12.41893
52,d4,4,44,125,135,1967,2002,17,Seehausen,51.40188,12.41893
53,d5,4,14,125,135,1967,2002,17,Seehausen,51.40188,12.41893
54,d6,4,31,125,135,1967,2002,17,Seehausen,51.40188,12.41893
55,d7,4,34,125,135,1967,2002,17,Seehausen,51.40188,12.41893
56,d8,4,32,125,135,1967,2002,17,Seehausen,51.40188,12.41893
57,d9,4,11,125,135,1967,2002,17,Seehausen,51.40188,12.41893
58,d10,4,24,125,135,1967,2002,17,Seehausen,51.40188,12.41893
59,d11,4,23,125,135,1967,2002,17,Seehausen,51.40188,12.41893
60,d12,4,13,125,135,1967,2002,17,Seehausen,51.40188,12.41893
61,d13,4,21,125,135,1967,2002,17,Seehausen,51.40188,12.41893
62,d14,4,33,125,135,1967,2002,17,Seehausen,51.40188,12.41893
63,d15,4,12,125,135,1967,2002,17,Seehausen,51.40188,12.41893
64,d16,4,22,125,135,1967,2002,17,Seehausen,51.40188,12.41893
